procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  2 7385412 339688   2436 571180   22  591   220   606  321  561  6  3 90  0  0
11  2 7739360 136952    432 520708  336 868604 21913 870900 95226 9702  7 90  2  2  0
12  1 6651332 137164    676 530312 1324 369812 97383 371328 33563 6747  6 93  0  0  0
12  5 7735276 144268    380 466876 5656 851036 48115 851108 124048 11824  5 87  6  2  0
 2  1 7806448 3073144   1608 470176 13420 1129376 88923 1129468 134291 8621  9 61 22  9  0
 7  4 7812092 135988    584 428556  600 167280 17670 168848 10362 5193  8 43 37 12  0
 5  0 6685472 1147844    488 438504   36    4 73405     8 139830 5978 11 69 14  6  0
 2  0 6685380 963588    488 450060   68    0 15675     0 2907 4597  1 14 79  6  0
 5  0 7316048 137332    852 428784   16 436568  7684 436568 46618 12676  5 48 41  6  0
 7  2 5957240 2701108    816 442008  280 127828 85358 129244 36731 12458  9 66 22  3  0
 1  0 5342328 2033200   1356 460920  324    0 22033    84 2163 4910  4 30 48 17  0
 4  1 5342216 432528   1356 471420   12    0 14375     0 1857 4750  5 23 69  3  0
 2  4 6362296 136232    924 439248  224 445236 18630 446788 55021 14581  6 45 31 19  0
 5  2 7159632 136036    684 394652   48 375660  8853 375660 62780 9117  2 45 46  7  0
 5  3 7810376 1296040    392 393148  740 306516 64009 306520 56827 8541  2 46 43 10  0
 1  3 5157452 7468284    400 402608  288    0 14377    12 2016 4677  2 31 48 19  0
 2  0 5133372 6080164   1404 479176 24976    0 94205     0 6056 15565  8 25 52 15  0
 1  2 5128464 5485224   1532 507568 5136    0 32094    44 2667 6884  3 19 66 13  0
 2  2 5127780 4325268   1532 510504  548    0  9228     0 1901 5757  4 19 68  9  0
